bird_id,species,x_km,y_km
SN03295,snow_goose,17.087931,4.025234
SA07083,sandhill_crane,9.156022,2.692839
SN08417,snow_goose,13.986712,13.147506
SA00042,sandhill_crane,13.04325,13.252462
SN09303,snow_goose,8.139617,2.793575
SN04457,snow_goose,6.370173,9.611524
SA05283,sandhill_crane,8.591814,2.435692
SN00519,snow_goose,12.526501,1.873305
SN07357,snow_goose,2.247211,5.105253
SA03482,sandhill_crane,14.140435,13.339724
SN03375,snow_goose,16.333992,3.45548
SA08895,sandhill_crane,6.673173,9.397882
SN08032,snow_goose,1.724719,5.454874
SA05698,sandhill_crane,16.372654,3.87643
SA02061,sandhill_crane,4.422136,10.116549
SN03572,snow_goose,11.517892,10.773926
SN03453,snow_goose,12.331017,10.950459
SN05115,snow_goose,16.494387,3.146069
SN03803,snow_goose,11.365378,1.91218
SN08741,snow_goose,16.26803,3.879113
SA07015,sandhill_crane,16.006716,3.637044
SN06699,snow_goose,11.965052,2.243484
SA01428,sandhill_crane,1.479756,4.30557
SN02924,snow_goose,4.871953,5.649996
SA03338,sandhill_crane,6.368993,5.406816
SA04026,sandhill_crane,5.041268,10.219862
SN05260,snow_goose,5.328252,9.144249
SA03160,sandhill_crane,6.801558,4.945731
SA02370,sandhill_crane,5.709271,9.509946
SA00855,sandhill_crane,5.809703,9.240971
SA04163,sandhill_crane,11.781861,2.240368
SN09603,snow_goose,5.167022,10.142432
SN07836,snow_goose,2.12846,5.589688
SA06606,sandhill_crane,2.183491,5.537613
SN04241,snow_goose,6.768334,6.470618
SN05476,snow_goose,15.109322,12.250057
SN09345,snow_goose,6.853871,5.578336
SA01550,sandhill_crane,9.391575,2.397247
SN03611,snow_goose,2.473166,5.500648
SA02775,sandhill_crane,6.882495,4.8416
SN01476,snow_goose,6.405195,6.159989
SA01284,sandhill_crane,12.205429,11.113386
SA06730,sandhill_crane,14.34412,13.699695
SA02456,sandhill_crane,6.360917,5.195741
SN06486,snow_goose,6.311436,10.144694
SN09790,snow_goose,9.321178,2.837817
SA06123,sandhill_crane,1.738816,4.46592
SA03572,sandhill_crane,8.414116,2.63381
SN06548,snow_goose,5.218144,9.45227
SN07906,snow_goose,1.979578,4.829896
SA03577,sandhill_crane,14.334305,13.039887
SN02394,snow_goose,12.194926,2.370929
SA05332,sandhill_crane,6.938992,5.95972
SN03147,snow_goose,11.682991,10.749023
SN09456,snow_goose,8.143542,1.13883
SN06960,snow_goose,6.082881,6.172372
SA08405,sandhill_crane,5.58159,5.808252
SA06196,sandhill_crane,16.054146,3.208233
SN00772,snow_goose,5.685623,5.863973
SA00164,sandhill_crane,12.502871,1.79418
SA08909,sandhill_crane,13.687762,12.814509
SA01419,sandhill_crane,4.84433,10.090153
SA09768,sandhill_crane,12.316423,2.860678
SN06201,snow_goose,8.016326,2.282353
SA08740,sandhill_crane,8.486443,2.973799
SN09960,snow_goose,16.762481,2.902196
SA03637,sandhill_crane,13.58579,13.231914
SA04712,sandhill_crane,14.020954,13.333016
SN06216,snow_goose,9.211593,3.318924
SA05583,sandhill_crane,11.917013,11.212095
SN06354,snow_goose,5.243069,10.168212
SN04102,snow_goose,15.904212,3.889469
SN03196,snow_goose,16.63825,4.054296
SA04000,sandhill_crane,12.509456,10.768297
SA01037,sandhill_crane,5.659236,9.863661
SA07396,sandhill_crane,5.861522,9.873014
SN04228,snow_goose,6.271239,5.460908
SA09995,sandhill_crane,2.43306,4.103793
SN01852,snow_goose,5.867095,10.240447
SA05007,sandhill_crane,12.3646,2.522795
SN06400,snow_goose,12.566063,10.177334
SA09290,sandhill_crane,7.249481,4.589292
SN07868,snow_goose,14.369066,12.784815
SN07528,snow_goose,16.208379,3.637252
SN06374,snow_goose,12.673671,2.489844
SA09875,sandhill_crane,6.53251,6.262078
SN03604,snow_goose,6.663511,6.186197
SN03316,snow_goose,9.086748,2.29824
SN04603,snow_goose,16.459971,3.391681
SA03028,sandhill_crane,5.881982,10.461109
SA09946,sandhill_crane,17.315685,4.342655
SN03407,snow_goose,14.670537,2.691942
SA05548,sandhill_crane,13.651932,12.562811
SN08633,snow_goose,6.271965,5.246707
SN08401,snow_goose,16.993363,2.38859
SA00914,sandhill_crane,11.636061,2.163324
SN08645,snow_goose,11.173516,11.244535
SN08856,snow_goose,12.305138,2.108046
SN00539,snow_goose,12.107759,2.876858
SN03520,snow_goose,5.260594,10.120559
SA06721,sandhill_crane,4.867894,9.805022
SN09532,snow_goose,12.492818,10.669154
SN01887,snow_goose,12.184452,2.638373
SA00058,sandhill_crane,6.026531,4.721727
SN08090,snow_goose,12.394304,10.049097
SN03629,snow_goose,13.469549,12.893573
SN00804,snow_goose,6.330275,6.193244
SN00174,snow_goose,5.611702,5.056097
SA06572,sandhill_crane,16.910917,3.681929
SN05974,snow_goose,14.153288,12.906154
SN07484,snow_goose,5.715847,6.111772
SN06365,snow_goose,16.471444,3.832518
SN00758,snow_goose,11.860665,10.413632
SA04734,sandhill_crane,5.470162,10.14303
SN02265,snow_goose,5.753642,9.226115
SN00376,snow_goose,1.886638,5.229997
SN04591,snow_goose,12.143819,11.083731
SA04669,sandhill_crane,13.375086,13.057961
SA09838,sandhill_crane,2.390729,5.681733
SA09536,sandhill_crane,2.572675,4.570593
SA03835,sandhill_crane,16.092045,3.460684
SN02457,snow_goose,5.996599,6.194259
SN01175,snow_goose,16.984453,4.063646
SN02750,snow_goose,13.140261,13.262413
SA01658,sandhill_crane,5.087693,10.110519
SN02452,snow_goose,14.041687,13.170604
SA03563,sandhill_crane,9.551334,3.008881
SN01400,snow_goose,17.044572,4.394248
SA07345,sandhill_crane,6.677993,5.10853
SA04261,sandhill_crane,13.616512,13.498501
SA02908,sandhill_crane,12.190487,10.530368
SN03317,snow_goose,6.420108,10.5051
SA07888,sandhill_crane,15.804323,3.697016
SN03531,snow_goose,4.940713,10.223713
SA07965,sandhill_crane,11.679982,3.274234
SN02211,snow_goose,3.252972,5.701211
SA03147,sandhill_crane,11.768002,2.645759
SN04171,snow_goose,2.756737,5.291375
SA00913,sandhill_crane,6.861084,5.48228
SA08818,sandhill_crane,8.441698,2.59389
SN07170,snow_goose,2.370767,4.777358
SA04284,sandhill_crane,9.374309,2.166097
SN09940,snow_goose,13.792802,11.612477
SN03926,snow_goose,8.110358,3.665829
SA07056,sandhill_crane,6.628269,5.725948
SA01460,sandhill_crane,13.677397,13.333826
SA09960,sandhill_crane,6.651726,6.128564
SN04483,snow_goose,15.851252,3.204488
SA02786,sandhill_crane,7.001368,5.441762
SN05661,snow_goose,9.32574,2.723047
SA03697,sandhill_crane,5.510715,6.179316
SA06521,sandhill_crane,12.948498,1.786174
SN04519,snow_goose,16.267539,3.430174
SN01256,snow_goose,13.819436,12.862301
SN02855,snow_goose,2.444798,6.243002
SN05428,snow_goose,8.930681,2.852536
SA07182,sandhill_crane,4.991771,10.450106
SN02525,snow_goose,12.485803,2.264439
SA05497,sandhill_crane,8.856507,2.70652
SA08861,sandhill_crane,11.556862,2.291192
SN01361,snow_goose,2.077893,5.005015
SA07456,sandhill_crane,11.98295,10.590935
SN08258,snow_goose,8.705792,1.791591
SA03859,sandhill_crane,12.655209,10.808514
SA07878,sandhill_crane,2.159647,5.741833
SN08850,snow_goose,16.955758,3.300183
SA08241,sandhill_crane,9.493874,2.536565
SA02640,sandhill_crane,6.180913,11.107241
SA07446,sandhill_crane,9.112733,2.748415
SA09452,sandhill_crane,4.630961,10.007101
SA08193,sandhill_crane,5.33504,10.113253
SN03330,snow_goose,11.873693,2.40781
SA02870,sandhill_crane,8.582668,2.404957
SA00885,sandhill_crane,15.692517,3.847815
SA08969,sandhill_crane,12.782997,11.790882
SN00440,snow_goose,12.003088,10.816065
SA09016,sandhill_crane,11.88136,2.574965
SN08639,snow_goose,12.426788,2.256668
SN04180,snow_goose,11.837508,1.613762
SA06716,sandhill_crane,11.958669,10.287645
SN08240,snow_goose,16.643364,3.277081
SA01169,sandhill_crane,2.184355,5.637114
SN03635,snow_goose,5.642164,5.982157
SA06060,sandhill_crane,5.359925,11.026893
SN06527,snow_goose,13.68392,12.22245
SN03841,snow_goose,5.419974,10.559457
SA00021,sandhill_crane,3.10941,5.253345
SN04738,snow_goose,13.543667,11.847054
SA03973,sandhill_crane,12.151335,2.225232
SN04936,snow_goose,9.048989,1.873173
SN06522,snow_goose,12.493068,10.097297
SN01797,snow_goose,5.576148,10.486274
SN08039,snow_goose,12.954442,12.540549
SN09920,snow_goose,16.329954,3.650222
SA06513,sandhill_crane,6.297175,10.921935
SA02351,sandhill_crane,5.602148,10.72616
SA01718,sandhill_crane,12.170908,11.205229
SA04840,sandhill_crane,13.418505,11.132317
SA08965,sandhill_crane,9.154675,2.761476
SA09111,sandhill_crane,9.524751,2.755233
SA00783,sandhill_crane,7.428041,2.522567
SN08928,snow_goose,13.448156,2.492373
SA08742,sandhill_crane,14.368594,13.632838
SA04350,sandhill_crane,14.466196,11.645238
SN04453,snow_goose,13.773039,12.329577
SN08384,snow_goose,7.553451,4.905765
SA08938,sandhill_crane,15.755996,4.260815
SN05160,snow_goose,8.865902,2.712843
SN03236,snow_goose,5.504225,10.838906
SN02843,snow_goose,8.855562,1.483187
SA00354,sandhill_crane,11.207318,10.578044
SA08279,sandhill_crane,2.501244,5.633432
SN06307,snow_goose,6.092295,9.374627
SA05333,sandhill_crane,12.126005,2.650939
SN03536,snow_goose,12.670578,2.014943
SN03529,snow_goose,16.303032,2.50173
SA02472,sandhill_crane,16.28544,3.264451
SN05280,snow_goose,12.369382,3.17497
SN01583,snow_goose,3.502427,4.979559
SA08231,sandhill_crane,2.489832,5.395494
SN02518,snow_goose,2.561918,5.710581
SN05502,snow_goose,5.536565,10.757546
SN05569,snow_goose,13.653823,13.499594
SA05595,sandhill_crane,3.016477,5.042895
SN02330,snow_goose,13.944189,13.032552
