bird_id,species,x_km,y_km
SN00059,snow_goose,2.296446,5.444117
SN00435,snow_goose,9.672449,2.32448
SN00300,snow_goose,7.931862,2.120215
SN00363,snow_goose,12.39022,11.18694
SN00489,snow_goose,9.082085,3.004203
SN00111,snow_goose,5.258563,10.481707
SA00387,sandhill_crane,14.595597,13.373834
SN00191,snow_goose,1.445188,4.573879
SA00334,sandhill_crane,5.089807,10.102026
SA00333,sandhill_crane,8.765332,2.995122
SA00123,sandhill_crane,2.761063,5.810622
SA00461,sandhill_crane,13.519324,11.304489
SA00385,sandhill_crane,12.369156,9.810162
SN00071,snow_goose,12.850365,3.066518
SA00228,sandhill_crane,15.759274,3.476595
SN00018,snow_goose,6.506561,4.768846
SN00478,snow_goose,14.563003,12.771551
SA00386,sandhill_crane,12.893984,2.218211
SN00233,snow_goose,5.551588,9.164048
SN00177,snow_goose,13.71783,12.476204
SN00343,snow_goose,8.766982,3.306929
SN00409,snow_goose,12.24725,2.478297
SN00456,snow_goose,5.700558,10.449635
SA00136,sandhill_crane,12.835087,2.19851
SN00419,snow_goose,8.744266,1.607694
SN00372,snow_goose,15.700686,3.150939
SN00088,snow_goose,5.681506,11.145609
SN00401,snow_goose,12.873595,3.158413
SA00356,sandhill_crane,6.776243,5.781028
SA00468,sandhill_crane,12.588675,2.58652
SN00136,snow_goose,13.674667,2.449452
SN00313,snow_goose,11.699267,2.289583
SA00052,sandhill_crane,16.12882,3.150899
SN00011,snow_goose,2.76787,5.017543
SA00500,sandhill_crane,5.200475,10.744864
SN00006,snow_goose,5.240387,10.515291
SA00389,sandhill_crane,5.817215,5.165961
SA00099,sandhill_crane,13.457136,12.957167
SA00164,sandhill_crane,12.512211,11.199573
SA00053,sandhill_crane,16.555455,4.075702
SN00415,snow_goose,2.313504,4.956051
SA00238,sandhill_crane,12.320371,10.897073
SN00443,snow_goose,14.396159,12.361741
SN00165,snow_goose,11.735301,2.563927
SN00119,snow_goose,5.846576,5.360085
SA00178,sandhill_crane,4.485709,10.238814
SN00070,snow_goose,12.139656,10.786894
SA00130,sandhill_crane,17.246152,3.447259
SA00362,sandhill_crane,3.178928,4.698149
SA00001,sandhill_crane,8.166257,1.276901
SA00474,sandhill_crane,7.86177,1.828284
SA00150,sandhill_crane,6.525889,5.908871
SN00371,snow_goose,12.586423,2.880356
SN00036,snow_goose,6.372836,10.017956
SA00087,sandhill_crane,12.366206,11.143633
SA00242,sandhill_crane,2.109239,5.681784
SN00218,snow_goose,14.282699,13.023956
SN00342,snow_goose,8.964264,3.031173
SA00219,sandhill_crane,5.428452,10.454116
SA00026,sandhill_crane,6.600741,5.705539
SN00301,snow_goose,2.248701,5.1867
SA00223,sandhill_crane,16.573198,4.257481
SN00069,snow_goose,16.23766,3.618113
SN00426,snow_goose,12.46106,10.333355
SN00030,snow_goose,13.622797,13.410966
SN00468,snow_goose,6.16354,5.345186
SN00330,snow_goose,6.031593,10.65275
SN00394,snow_goose,5.8411,4.397344
SN00007,snow_goose,12.951552,11.385446
SA00060,sandhill_crane,15.502697,3.741235
SN00498,snow_goose,12.35369,10.478545
SA00302,sandhill_crane,6.896384,5.346397
SN00015,snow_goose,9.689769,2.356171
