observation_id,species,common_name,iconic_taxon,latitude,longitude,observed_on
209430989,Limax maximus,Leopard Slug,Mollusca,49.2497094549,-123.2329176493,2024-04-26
209455171,Limax maximus,Leopard Slug,Mollusca,49.0508535327,-122.7870652006,2024-04-26
209455679,Limax maximus,Leopard Slug,Mollusca,49.089623543,-122.6607638731,2024-04-26
209455917,Limax maximus,Leopard Slug,Mollusca,49.1592257783,-122.7941194,2024-04-26
209456142,Limax maximus,Leopard Slug,Mollusca,49.1386571994,-122.6895624222,2024-04-26
209456438,Lumbricidae,Lumbricid Earthworms,Animalia,49.0422358933,-122.6196850125,2024-04-26
209456685,Lumbricidae,Lumbricid Earthworms,Animalia,49.1871446075,-122.7459882643,2024-04-26
209457156,Limax maximus,Leopard Slug,Mollusca,49.0462915512,-122.7343798436,2024-04-26
209457372,Lumbricidae,Lumbricid Earthworms,Animalia,49.010161741,-122.7059470318,2024-04-26
209457626,Lumbricidae,Lumbricid Earthworms,Animalia,49.1586686588,-122.7005433108,2024-04-26
209458084,Lumbricidae,Lumbricid Earthworms,Animalia,49.1192191187,-122.6087136728,2024-04-26
209459577,Oligochaeta,Earthworms and Allies,Animalia,49.0509602535,-122.7105906827,2024-04-26
209460015,Lumbricidae,Lumbricid Earthworms,Animalia,49.0999076122,-122.7386283208,2024-04-26
209460211,Lumbricidae,Lumbricid Earthworms,Animalia,49.0836176113,-122.7322176938,2024-04-26
209460619,Cheiracanthium,Longlegged Sac Spiders,Arachnida,49.0009210082,-122.6148680789,2024-04-26
209484449,Sitticini,,Arachnida,49.3606618185,-123.0322567522,2024-04-26
209516038,Turdus migratorius,American Robin,Aves,49.3846943907,-123.0105538716,2024-04-26
209554669,Pipilo maculatus,Spotted Towhee,Aves,49.3011509433,-122.7528852784,2024-04-26
209558339,Pipilo maculatus,Spotted Towhee,Aves,49.3012727704,-122.7530006134,2024-04-26
209559143,Pipilo maculatus,Spotted Towhee,Aves,49.3012299389,-122.7530208138,2024-04-26
209559506,Ixoreus naevius,Varied Thrush,Aves,49.3011973529,-122.7530100269,2024-04-26
209580221,Calypte anna,Anna's Hummingbird,Aves,49.316372984,-123.0592027632,2024-04-26
209580222,Catharus guttatus,Hermit Thrush,Aves,49.3163702725,-123.0592128214,2024-04-26
209603524,Limax maximus,Leopard Slug,Mollusca,49.2482109722,-122.9054169722,2024-04-26
209605656,Lumbricidae,Lumbricid Earthworms,Animalia,49.2484389722,-122.90563,2024-04-26
209606650,Canis familiaris,Domestic Dog,Mammalia,49.299052557,-122.8735569794,2024-04-26
209610636,Rubus bifrons,Himalayan Blackberry,Plantae,49.2304911633,-122.8066504542,2024-04-26
209612407,Alopecurus,Foxtail grasses,Plantae,49.2306294062,-122.8064277349,2024-04-26
209613272,Rosa nutkana,Nootka rose,Plantae,49.2307271884,-122.8062481495,2024-04-26
209614959,Rubus parviflorus,thimbleberry,Plantae,49.2310370162,-122.8057709811,2024-04-26
209615898,Crataegus,hawthorns,Plantae,49.2313924031,-122.8052104459,2024-04-26
209617841,Haemorhous mexicanus,House Finch,Aves,49.2570694698,-123.0939766027,2024-04-26
209625122,Coprinus comatus,Shaggy Mane,Fungi,49.0953248297,-122.6118263975,2024-04-26
209627201,Sylvilagus floridanus,Eastern Cottontail,Mammalia,49.0516688848,-122.8016453196,2024-04-26
209629134,Acer griseum,Paperbark Maple,Plantae,49.0519006145,-122.8050439472,2024-04-26
209629520,Cladonia coniocraea,Common Powderhorn,Fungi,49.0518643731,-122.8054175632,2024-04-26
209629690,Turdus migratorius,American Robin,Aves,49.2502726936,-123.0478117453,2024-04-26
209629713,Calystegia,false bindweeds,Plantae,49.269125,-123.1793472222,2024-04-26
209629921,Geranium robertianum,Herb Robert,Plantae,49.2302430312,-123.0730600326,2024-04-26
209630049,Ranunculus repens,Creeping buttercup,Plantae,49.378667397,-123.0950632933,2024-04-26
209630144,Thuja plicata,western redcedar,Plantae,49.0517840079,-122.8059145579,2024-04-26
209630220,Pseudofumaria lutea,Yellow Fumitory,Plantae,49.2655365671,-123.0102983734,2024-04-26
209630278,Athyrium filix-femina,lady fern,Plantae,49.2275025456,-123.0518554038,2024-04-26
209630478,Centaurea,knapweeds,Plantae,49.3138762369,-123.0505640719,2024-04-26
209630582,Plantago major,greater plantain,Plantae,49.2936960252,-123.0198065311,2024-04-26
209630592,Geranium robertianum,Herb Robert,Plantae,49.0516738449,-122.8068039544,2024-04-26
209630808,Anthemideae,"Chamomiles, yarrows, and allies",Plantae,49.2651861111,-123.1837111111,2024-04-26
209630913,Lunaria annua,Annual Honesty,Plantae,49.2651861111,-123.1837111111,2024-04-26
209631069,Papaver cambricum,Welsh Poppy,Plantae,49.2651861111,-123.1837111111,2024-04-26
209631261,Acer,maples,Plantae,49.0513487064,-122.8068029181,2024-04-26
209631584,Taraxacum officinale,common dandelion,Plantae,49.16071304,-123.16969099,2024-04-26
209631741,Rubus spectabilis,Salmonberry,Plantae,49.0513609446,-122.806802295,2024-04-26
209632273,Rubus parviflorus,thimbleberry,Plantae,49.0512301003,-122.8067999559,2024-04-26
209632749,Acer macrophyllum,bigleaf maple,Plantae,49.0508697025,-122.8069011715,2024-04-26
209633010,Hedera helix,common ivy,Plantae,49.2651861111,-123.1837111111,2024-04-26
209633135,Lamium galeobdolon,yellow archangel,Plantae,49.2651861111,-123.1837111111,2024-04-26
209633352,Sorbus aucuparia,European mountain ash,Plantae,49.0503604461,-122.8067980652,2024-04-26
209633610,Populus trichocarpa,black cottonwood,Plantae,49.0502733306,-122.8067785087,2024-04-26
209634122,Salix scouleriana,Scouler's willow,Plantae,49.0501911337,-122.8068372806,2024-04-26
209634318,Tanacetum vulgare,tansy,Plantae,49.2189949412,-123.2135195033,2024-04-26
209635641,Pteridium aquilinum,common bracken,Plantae,49.0499404601,-122.8069039307,2024-04-26
209636747,Acer circinatum,Vine Maple,Plantae,49.0496449242,-122.8070318249,2024-04-26
209637077,Oemleria cerasiformis,Osoberry,Plantae,49.0496247426,-122.8068796328,2024-04-26
209637705,Symphoricarpos albus,Common Snowberry,Plantae,49.0495513311,-122.8070362238,2024-04-26
209637884,Sambucus racemosa,red-berried elder,Plantae,49.0495655424,-122.8072718457,2024-04-26
209638522,Polystichum munitum,western sword fern,Plantae,49.0495048883,-122.8075931165,2024-04-26
209638755,Athyrium filix-femina,lady fern,Plantae,49.0495287633,-122.8079206368,2024-04-26
209639571,Claytonia sibirica,Candy Flower,Plantae,49.0495189973,-122.8079655494,2024-04-26
209639894,Rubus ursinus,trailing blackberry,Plantae,49.3322566558,-122.6980198944,2024-04-26
209639943,Dicentra formosa,Pacific Bleeding Heart,Plantae,49.0495286778,-122.8082018666,2024-04-26
209640148,Evernia prunastri,Oakmoss,Fungi,49.0495366629,-122.8083430337,2024-04-26
209640530,Pinus,pines,Plantae,49.3355367983,-122.630936726,2024-04-26
209640668,Trametes ochracea,Ochre Bracket,Fungi,49.0495435658,-122.8084164001,2024-04-26
209641354,Tellima grandiflora,fringe cups,Plantae,49.0496142221,-122.8083027331,2024-04-26
209641666,Taraxacum officinale,common dandelion,Plantae,49.3006878658,-122.6983521927,2024-04-26
209642264,Berberis nervosa,Cascade Oregon-grape,Plantae,49.0495806035,-122.8086397475,2024-04-26
209643226,Veronica arvensis,corn speedwell,Plantae,49.2431485942,-122.6351622611,2024-04-26
209643451,Scytinotus longinquus,Rosy Oysterling,Fungi,49.0491972071,-122.8078392666,2024-04-26
209643600,Epilobium,willowherbs,Plantae,49.2440397513,-122.6105269987,2024-04-26
209644461,Mycelis muralis,Wall Lettuce,Plantae,49.2120783878,-122.7642452243,2024-04-26
209645267,Lumbricidae,Lumbricid Earthworms,Animalia,49.0504847977,-122.8066066157,2024-04-26
209645594,Cerastium,Mouse-ear Chickweeds,Plantae,49.2230884706,-122.7896254394,2024-04-26
209646517,Ligustrum,privets,Plantae,49.2097366667,-122.8243166667,2024-04-26
209646893,Equisetum telmateia braunii,Braun's Giant Horsetail,Plantae,49.3467714201,-122.6633162186,2024-04-26
209647069,Liquidambar orientalis,Oriental Sweetgum,Plantae,49.1912800762,-122.8490124643,2024-04-26
209647511,Zonotrichia leucophrys,White-crowned Sparrow,Aves,49.1204359235,-123.1944567944,2024-04-26
209648022,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,49.1370279897,-123.108393007,2024-04-26
209648323,Nebria brevicollis,European Gazelle Beetle,Insecta,49.3274482403,-122.6708008881,2024-04-26
209648451,Cornus,dogwoods,Plantae,49.217065019,-123.2126612793,2024-04-26
209649500,Cryptops,,Animalia,49.3140090114,-122.7296220186,2024-04-26
209650482,Lasius,"Citronella Ants, Fuzzy Ants, and Allies",Insecta,49.3254297713,-122.601663814,2024-04-26
209651597,Sphaerites politus,American False Clown Beetle,Insecta,49.2361123,-122.7669346997,2024-04-26
209652254,Porcellio scaber,Common Rough Woodlouse,Animalia,49.3198214128,-122.7215727954,2024-04-26
209653237,Scandiceae,"Chervils, Carrots, Hedgeparsleys and Allies",Plantae,49.22132281,-123.17376513,2024-04-26
209654304,Poecile atricapillus,Black-capped Chickadee,Aves,49.2719879936,-123.0850617027,2024-04-26
209655294,Cercidiphyllum japonicum,katsura tree,Plantae,49.2293383333,-123.17198,2024-04-26
209658375,Mesarion,Dusky Slugs,Mollusca,49.2936119944,-122.6649357739,2024-04-26
209659215,Peziza varia,layered cup,Fungi,49.1242298788,-122.8826605642,2024-04-26
209659337,Oxalis corniculata,Creeping Woodsorrel,Plantae,49.3368403359,-122.757295114,2024-04-26
209660204,Plantago major,greater plantain,Plantae,49.2018590054,-122.6280797038,2024-04-26
209662126,Lamium purpureum,red deadnettle,Plantae,49.007968898,-122.6840873716,2024-04-26
209663981,Eutardigrada,Smooth-bodied Tardigrades,Animalia,49.1274042928,-123.1933044247,2024-04-26
209666701,Sciaroidea,Fungus Gnats and Gall Midges,Insecta,49.2732852369,-123.0232910067,2024-04-26
209667174,Arion ater,Black Slug,Mollusca,49.1273612138,-123.1932854484,2024-04-26
209667507,Magnoliopsida,Dicots,Plantae,49.2732852369,-123.0232910067,2024-04-26
209667932,Grimmia pulvinata,Grey-cushioned Grimmia,Plantae,49.273124673,-123.0232045054,2024-04-26
209668702,Oxalis,Woodsorrels,Plantae,49.2731275168,-123.023205176,2024-04-26
209669291,Calystegia silvatica,large bindweed,Plantae,49.16066338,-123.16986206,2024-04-26
209669397,Vicia sativa,Common Vetch,Plantae,49.16070534,-123.16979912,2024-04-26
209669538,Faboideae,,Plantae,49.16074455,-123.16979031,2024-04-26
209669661,Cerastium glomeratum,Sticky mouse-ear chickweed,Plantae,49.16091696,-123.16947078,2024-04-26
209669824,Ranunculus repens,Creeping buttercup,Plantae,49.16109966,-123.16963694,2024-04-26
209669950,Erodium cicutarium,Redstem Stork's-bill,Plantae,49.16133606,-123.16976459,2024-04-26
209670125,Evernia prunastri,Oakmoss,Fungi,49.16195538,-123.16927742,2024-04-26
209670279,Geranium molle,Dove's-foot crane's-bill,Plantae,49.162689,-123.16911001,2024-04-26
209670458,Lepraria finkii,Fluffy Dust Lichen,Fungi,49.16266948,-123.1690843,2024-04-26
209670550,Didymodon,,Plantae,49.16264715,-123.16912409,2024-04-26
209670552,Sambucus racemosa,red-berried elder,Plantae,49.31640625,-122.924446106,2024-04-26
209670625,Capsella bursa-pastoris,shepherd's-purse,Plantae,49.16281289,-123.16962347,2024-04-26
209673962,Mylocheilus caurinus,Peamouth,Actinopterygii,49.1140721667,-123.0672833333,2024-04-26
209682695,Lamium purpureum,red deadnettle,Plantae,49.1413757731,-123.1945429241,2024-04-26
209682710,Tanacetum vulgare,tansy,Plantae,49.1413797951,-123.1946647168,2024-04-26
209682877,Tanacetum vulgare,tansy,Plantae,49.1413871217,-123.1946386695,2024-04-26
209682947,Lamium purpureum,red deadnettle,Plantae,49.1413796104,-123.1945369376,2024-04-26
209683238,Lathyrus japonicus,seaside pea,Plantae,49.1413908173,-123.1946995856,2024-04-26
209683899,Canis latrans,Coyote,Mammalia,49.1416366585,-123.1945225598,2024-04-26
209684284,Anthriscus,Chervils,Plantae,49.1415540309,-123.1942014672,2024-04-26
209684426,Rubus bifrons,Himalayan Blackberry,Plantae,49.1415131512,-123.194515016,2024-04-26
209684787,Erodium cicutarium,Redstem Stork's-bill,Plantae,49.1418614878,-123.1944611528,2024-04-26
209685242,Mellisugini,Bee Hummingbirds and Allies,Aves,49.1417422286,-123.1947140862,2024-04-26
209686084,Eleocharis palustris,common spikerush,Plantae,49.1420092341,-123.1945834962,2024-04-26
209686707,Typha,Cattails,Plantae,49.1417725828,-123.1945496812,2024-04-26
209687295,Crassiclitellata,Typical Earthworms,Animalia,49.1422955599,-123.1945451071,2024-04-26
209688242,Malus fusca,Pacific Crab Apple,Plantae,49.1427449991,-123.1944103764,2024-04-26
209690714,Hyacinthoides,Bluebells,Plantae,49.1428437233,-123.1942560479,2024-04-26
209691357,Morchella importuna,Landscaping Black Morel,Fungi,49.0326821432,-123.0738450309,2024-04-26
209692275,Cryptogramma acrostichoides,American parsley fern,Plantae,49.3230895996,-122.9198913574,2024-04-26
209694531,Polystichum munitum,western sword fern,Plantae,49.2751900899,-122.883014409,2024-04-26
209696455,Lecanoraceae,"rim lichens, disc lichens, and allies",Fungi,49.1188166667,-122.659425,2024-04-26
209697147,Hylocomium splendens,stairstep moss,Plantae,49.3239135742,-122.9174041748,2024-04-26
209697410,Malus fusca,Pacific Crab Apple,Plantae,49.034915166,-123.0558997953,2024-04-26
209697806,Rosa pisocarpa,cluster rose,Plantae,49.0347906948,-123.0558743981,2024-04-26
209698355,Caprifolioideae,honeysuckle subfamily,Plantae,49.0347746853,-123.0558857137,2024-04-26
209698426,Ardea herodias,Great Blue Heron,Aves,49.1265021157,-123.1952870679,2024-04-26
209698436,Thamnophis sirtalis,Common Garter Snake,Reptilia,49.1482083333,-122.58898,2024-04-26
209698459,Ardea herodias,Great Blue Heron,Aves,49.1265761806,-123.195402911,2024-04-26
209698467,Ardea herodias,Great Blue Heron,Aves,49.1265529208,-123.1953893324,2024-04-26
209698619,Acer pseudoplatanus,sycamore maple,Plantae,49.034749833,-123.0560069998,2024-04-26
209698765,Populus trichocarpa,black cottonwood,Plantae,49.1264585825,-123.1954926812,2024-04-26
209698987,Bellis perennis,Lawn daisy,Plantae,49.0350039304,-123.0559402799,2024-04-26
209699233,Equisetum arvense,field horsetail,Plantae,49.1265476821,-123.1955518575,2024-04-26
209699245,Anas platyrhynchos,Mallard,Aves,49.1265374158,-123.1955815239,2024-04-26
209699327,Sambucus racemosa,red-berried elder,Plantae,49.0351139848,-123.0558555388,2024-04-26
209699408,Salix sitchensis,Sitka willow,Plantae,49.1265376131,-123.1954357228,2024-04-26
209699529,Rubus spectabilis,Salmonberry,Plantae,49.12617242,-123.1940313049,2024-04-26
209699576,Lamium purpureum,red deadnettle,Plantae,49.1264857719,-123.1956093433,2024-04-26
209699910,Lupinus polyphyllus,Large-leaved lupine,Plantae,49.1264634496,-123.1957599041,2024-04-26
209699930,Cytisus scoparius,Scotch Broom,Plantae,49.1264591914,-123.1957279055,2024-04-26
209699993,Cytisus scoparius,Scotch Broom,Plantae,49.126492617,-123.1957957618,2024-04-26
209700240,Cytisus scoparius,Scotch Broom,Plantae,49.1265584948,-123.1958477386,2024-04-26
209700244,Galium,bedstraws,Plantae,49.0354188346,-123.0557935965,2024-04-26
209700439,Prunus emarginata,Bitter cherry,Plantae,49.1265110223,-123.1959002287,2024-04-26
209700450,Ardea herodias,Great Blue Heron,Aves,49.1265411091,-123.1958059681,2024-04-26
209700566,Prunus avium,wild cherry,Plantae,49.1265313374,-123.1958646701,2024-04-26
209700704,Equisetum arvense,field horsetail,Plantae,49.1265356571,-123.1958118606,2024-04-26
209700775,Prunus avium,wild cherry,Plantae,49.1265153106,-123.195835332,2024-04-26
209700926,Cytisus scoparius,Scotch Broom,Plantae,49.1265134722,-123.1959997509,2024-04-26
209700991,Maianthemum dilatatum,Western Lily of the Valley,Plantae,49.0354406694,-123.0559789204,2024-04-26
209701017,Zonotrichia leucophrys,White-crowned Sparrow,Aves,49.1264964391,-123.1965518891,2024-04-26
209701150,Lamium purpureum,red deadnettle,Plantae,49.1264907032,-123.1961765783,2024-04-26
209701191,Malus prunifolia,Pear-leaf Crabapple,Plantae,49.1265198961,-123.1967692451,2024-04-26
209701303,Populus trichocarpa,black cottonwood,Plantae,49.0353961196,-123.0559469016,2024-04-26
209701479,Prunus,"plums, cherries, and allies",Plantae,49.1265138232,-123.1962867839,2024-04-26
209701530,Malus fusca,Pacific Crab Apple,Plantae,49.1264998634,-123.1966555865,2024-04-26
209701539,Amygdaloideae,,Plantae,49.1264943632,-123.1967528107,2024-04-26
209702022,Trautvetteria caroliniensis,Carolina bugbane,Plantae,49.2538784591,-123.2441514028,2024-04-26
209702062,Malus,apples and crabapples,Plantae,49.1267229405,-123.1953961771,2024-04-26
209702319,Guepiniopsis alpina,alpine jelly cone,Fungi,49.3260192871,-122.9170761108,2024-04-26
209702356,Taraxacum officinale,common dandelion,Plantae,49.0351545113,-123.0559063331,2024-04-26
209702590,Salix scouleriana,Scouler's willow,Plantae,49.210095,-122.8194116667,2024-04-26
209702732,Calypte anna,Anna's Hummingbird,Aves,49.1416319263,-123.194808824,2024-04-26
209702840,Stellaria media,common chickweed,Plantae,49.0351760947,-123.0558323209,2024-04-26
209702993,Calidris minutilla,Least Sandpiper,Aves,49.1264786155,-123.1996228303,2024-04-26
209703033,Rubus spectabilis,Salmonberry,Plantae,49.126485789,-123.1980125234,2024-04-26
209703398,Prunus cerasifera,Cherry-plum,Plantae,49.1264673884,-123.1984183394,2024-04-26
209703400,Mycelis muralis,Wall Lettuce,Plantae,49.0351706464,-123.0561105163,2024-04-26
209703566,Crataegus monogyna,common hawthorn,Plantae,49.1264491886,-123.1989239661,2024-04-26
209703593,Equisetum telmateia,great horsetail,Plantae,49.1264913826,-123.1987729425,2024-04-26
209703685,Hedera helix,common ivy,Plantae,49.0352131846,-123.0560493284,2024-04-26
209703804,Ardea herodias,Great Blue Heron,Aves,49.1264946261,-123.1998052037,2024-04-26
209704213,Scolopacidae,Sandpipers and Allies,Aves,49.1264936608,-123.1997296495,2024-04-26
209704278,Calidris alpina,Dunlin,Aves,49.1264980563,-123.1991590737,2024-04-26
209704303,Pinus sylvestris,Scots pine,Plantae,49.0352094127,-123.0559852907,2024-04-26
209704790,Calidris minutilla,Least Sandpiper,Aves,49.1264940799,-123.1995995623,2024-04-26
209704941,Arctium minus,lesser burdock,Plantae,49.0354234027,-123.0559660123,2024-04-26
209705052,Pipilo maculatus,Spotted Towhee,Aves,49.1264364124,-123.2003578731,2024-04-26
209705112,Calidris minutilla,Least Sandpiper,Aves,49.1264799187,-123.2007431815,2024-04-26
209705186,Pipilo maculatus,Spotted Towhee,Aves,49.1264179915,-123.2003038159,2024-04-26
209705552,Pipilo maculatus,Spotted Towhee,Aves,49.1264283238,-123.2004218883,2024-04-26
209705579,Sanicula crassicaulis,Pacific Sanicle,Plantae,49.0353168268,-123.0559940079,2024-04-26
209705749,Euphagus cyanocephalus,Brewer's Blackbird,Aves,49.1263471563,-123.2007916769,2024-04-26
209705758,Sanicula crassicaulis,Pacific Sanicle,Plantae,49.0353464568,-123.0560434611,2024-04-26
209705968,Sorbus aucuparia,European mountain ash,Plantae,49.1263486119,-123.2007519902,2024-04-26
209706143,Solidago,goldenrods,Plantae,49.1263232204,-123.2006625362,2024-04-26
209706314,Acer macrophyllum,bigleaf maple,Plantae,49.0354928468,-123.0561142043,2024-04-26
209706642,Calypte anna,Anna's Hummingbird,Aves,49.1262516119,-123.200585428,2024-04-26
209706689,Hyacinthoides hispanica,Spanish Bluebell,Plantae,49.0354472911,-123.0561190658,2024-04-26
209706916,Calypte anna,Anna's Hummingbird,Aves,49.1263605981,-123.2004242578,2024-04-26
209707013,Solidago,goldenrods,Plantae,49.126309529,-123.2006771048,2024-04-26
209707082,Pooideae,,Plantae,49.0354541643,-123.056111103,2024-04-26
209707103,Setophaga coronata,Yellow-rumped Warbler,Aves,49.1259897744,-123.2005623297,2024-04-26
209707923,Quercus,oaks,Plantae,49.1258888004,-123.2004258643,2024-04-26
209708002,Symphoricarpos mollis,creeping snowberry,Plantae,49.035751638,-123.0561525935,2024-04-26
209708387,Larinae,Gulls,Aves,49.1258195717,-123.2003615956,2024-04-26
209708413,Silene latifolia,white campion,Plantae,49.1258925666,-123.200409746,2024-04-26
209708882,Pipilo maculatus,Spotted Towhee,Aves,49.0359463497,-123.0557687023,2024-04-26
209710661,Maianthemum dilatatum,Western Lily of the Valley,Plantae,49.3287963867,-122.9152145386,2024-04-26
209710929,Columba livia domestica,Feral Pigeon,Aves,49.1253996234,-123.1994669034,2024-04-26
209711941,Geranium robertianum,Herb Robert,Plantae,49.0357259475,-123.0556091947,2024-04-26
209711982,Columba livia domestica,Feral Pigeon,Aves,49.2833673489,-123.120452352,2024-04-26
